,0,1,2,3,4,5,6,7
110,ptbr,ELMo_NILC,fasttext,cbow,50,\textbf{0.66},\textbf{0.37},394
100,ptbr,ELMo_NILC,fasttext,cbow,100,\textbf{0.65},\textbf{0.38},384
118,ptbr,ELMo_NILC,fasttext,cbow,300,\textbf{0.65},\textbf{0.39},402
104,ptbr,ELMo_NILC,fasttext,cbow,600,\textbf{0.63},\textbf{0.42},388
108,ptbr,ELMo_NILC,fasttext,cbow,1000,\textbf{0.63},\textbf{0.42},392
112,ptbr,ELMo_NILC,fasttext,skip,50,0.49,0.59,396
114,ptbr,ELMo_NILC,fasttext,skip,100,0.49,0.6,398
102,ptbr,ELMo_NILC,fasttext,skip,300,0.48,0.61,386
116,ptbr,ELMo_NILC,fasttext,skip,600,0.48,0.61,400
106,ptbr,ELMo_NILC,fasttext,skip,1000,0.47,0.62,390
70,ptbr,ELMo_NILC,glove,glove,50,0.53,0.55,354
78,ptbr,ELMo_NILC,glove,glove,100,0.53,0.56,362
72,ptbr,ELMo_NILC,glove,glove,300,0.52,0.57,356
74,ptbr,ELMo_NILC,glove,glove,600,0.51,0.57,358
76,ptbr,ELMo_NILC,glove,glove,1000,0.51,0.58,360
90,ptbr,ELMo_NILC,wang2vec,cbow,50,0.49,0.6,374
80,ptbr,ELMo_NILC,wang2vec,cbow,100,0.49,0.6,364
98,ptbr,ELMo_NILC,wang2vec,cbow,300,0.48,0.61,382
84,ptbr,ELMo_NILC,wang2vec,cbow,600,0.57,0.5,368
88,ptbr,ELMo_NILC,wang2vec,cbow,1000,0.56,0.51,372
92,ptbr,ELMo_NILC,wang2vec,skip,50,0.5,0.59,376
94,ptbr,ELMo_NILC,wang2vec,skip,100,0.5,0.59,378
82,ptbr,ELMo_NILC,wang2vec,skip,300,0.48,0.6,366
96,ptbr,ELMo_NILC,wang2vec,skip,600,0.48,0.61,380
86,ptbr,ELMo_NILC,wang2vec,skip,1000,0.47,0.62,370
130,ptbr,ELMo_NILC,word2vec,cbow,50,0.5,0.59,414
120,ptbr,ELMo_NILC,word2vec,cbow,100,0.49,0.59,404
138,ptbr,ELMo_NILC,word2vec,cbow,300,0.49,0.6,422
124,ptbr,ELMo_NILC,word2vec,cbow,600,0.48,0.6,408
128,ptbr,ELMo_NILC,word2vec,cbow,1000,0.48,0.61,412
132,ptbr,ELMo_NILC,word2vec,skip,50,0.5,0.59,416
134,ptbr,ELMo_NILC,word2vec,skip,100,0.5,0.59,418
122,ptbr,ELMo_NILC,word2vec,skip,300,0.49,0.59,406
136,ptbr,ELMo_NILC,word2vec,skip,600,0.49,0.6,420
126,ptbr,ELMo_NILC,word2vec,skip,1000,0.49,0.6,410
40,ptbr,NILC,fasttext,cbow,50,\textbf{0.67},\textbf{0.35},44
30,ptbr,NILC,fasttext,cbow,100,\textbf{0.66},\textbf{0.36},34
48,ptbr,NILC,fasttext,cbow,300,\textbf{0.65},\textbf{0.37},52
34,ptbr,NILC,fasttext,cbow,600,\textbf{0.64},\textbf{0.4},38
38,ptbr,NILC,fasttext,cbow,1000,\textbf{0.64},\textbf{0.4},42
42,ptbr,NILC,fasttext,skip,50,0.55,0.52,46
44,ptbr,NILC,fasttext,skip,100,0.53,0.55,48
32,ptbr,NILC,fasttext,skip,300,0.5,0.58,36
46,ptbr,NILC,fasttext,skip,600,\textbf{0.49},0.59,50
36,ptbr,NILC,fasttext,skip,1000,0.49,0.6,40
0,ptbr,NILC,glove,glove,50,0.62,0.43,4
8,ptbr,NILC,glove,glove,100,0.6,0.46,12
2,ptbr,NILC,glove,glove,300,0.58,0.49,6
4,ptbr,NILC,glove,glove,600,0.56,0.51,8
6,ptbr,NILC,glove,glove,1000,0.56,0.52,10
20,ptbr,NILC,wang2vec,cbow,50,0.55,0.53,24
10,ptbr,NILC,wang2vec,cbow,100,\textbf{0.52},0.56,14
28,ptbr,NILC,wang2vec,cbow,300,0.51,0.58,32
14,ptbr,NILC,wang2vec,cbow,600,0.58,0.49,18
18,ptbr,NILC,wang2vec,cbow,1000,0.57,0.5,22
22,ptbr,NILC,wang2vec,skip,50,0.56,0.51,26
24,ptbr,NILC,wang2vec,skip,100,0.54,0.54,28
12,ptbr,NILC,wang2vec,skip,300,0.51,0.58,16
26,ptbr,NILC,wang2vec,skip,600,0.5,0.59,30
16,ptbr,NILC,wang2vec,skip,1000,0.49,0.59,20
60,ptbr,NILC,word2vec,cbow,50,0.59,0.47,64
50,ptbr,NILC,word2vec,cbow,100,0.57,0.5,54
68,ptbr,NILC,word2vec,cbow,300,0.53,0.55,72
54,ptbr,NILC,word2vec,cbow,600,0.51,0.57,58
58,ptbr,NILC,word2vec,cbow,1000,0.5,0.58,62
62,ptbr,NILC,word2vec,skip,50,0.6,0.46,66
64,ptbr,NILC,word2vec,skip,100,0.59,0.48,68
52,ptbr,NILC,word2vec,skip,300,0.56,0.52,56
66,ptbr,NILC,word2vec,skip,600,0.54,0.53,70
56,ptbr,NILC,word2vec,skip,1000,0.54,0.54,60
111,pteu,ELMo_NILC,fasttext,cbow,50,\textbf{1.04},\textbf{0.35},395
101,pteu,ELMo_NILC,fasttext,cbow,100,\textbf{1.03},\textbf{0.36},385
119,pteu,ELMo_NILC,fasttext,cbow,300,\textbf{1.02},\textbf{0.37},403
105,pteu,ELMo_NILC,fasttext,cbow,600,\textbf{0.99},\textbf{0.4},389
109,pteu,ELMo_NILC,fasttext,cbow,1000,\textbf{1.0},\textbf{0.4},393
113,pteu,ELMo_NILC,fasttext,skip,50,0.85,0.54,397
115,pteu,ELMo_NILC,fasttext,skip,100,0.84,0.54,399
103,pteu,ELMo_NILC,fasttext,skip,300,0.82,0.56,387
117,pteu,ELMo_NILC,fasttext,skip,600,0.82,0.56,401
107,pteu,ELMo_NILC,fasttext,skip,1000,0.8,0.58,391
71,pteu,ELMo_NILC,glove,glove,50,0.91,0.48,355
79,pteu,ELMo_NILC,glove,glove,100,0.89,0.5,363
73,pteu,ELMo_NILC,glove,glove,300,0.88,0.51,357
75,pteu,ELMo_NILC,glove,glove,600,0.88,0.51,359
77,pteu,ELMo_NILC,glove,glove,1000,0.87,0.52,361
91,pteu,ELMo_NILC,wang2vec,cbow,50,0.8,0.58,375
81,pteu,ELMo_NILC,wang2vec,cbow,100,0.79,0.59,365
99,pteu,ELMo_NILC,wang2vec,cbow,300,0.81,0.57,383
85,pteu,ELMo_NILC,wang2vec,cbow,600,0.86,0.54,369
89,pteu,ELMo_NILC,wang2vec,cbow,1000,0.86,0.54,373
93,pteu,ELMo_NILC,wang2vec,skip,50,0.87,0.52,377
95,pteu,ELMo_NILC,wang2vec,skip,100,0.86,0.52,379
83,pteu,ELMo_NILC,wang2vec,skip,300,0.84,0.55,367
97,pteu,ELMo_NILC,wang2vec,skip,600,0.82,0.56,381
87,pteu,ELMo_NILC,wang2vec,skip,1000,0.81,0.57,371
131,pteu,ELMo_NILC,word2vec,cbow,50,0.79,0.59,415
121,pteu,ELMo_NILC,word2vec,cbow,100,0.78,0.6,405
139,pteu,ELMo_NILC,word2vec,cbow,300,0.77,0.61,423
125,pteu,ELMo_NILC,word2vec,cbow,600,\textbf{0.77},0.61,409
129,pteu,ELMo_NILC,word2vec,cbow,1000,\textbf{0.76},0.62,413
133,pteu,ELMo_NILC,word2vec,skip,50,0.8,0.58,417
135,pteu,ELMo_NILC,word2vec,skip,100,0.8,0.58,419
123,pteu,ELMo_NILC,word2vec,skip,300,0.8,0.59,407
137,pteu,ELMo_NILC,word2vec,skip,600,0.79,0.6,421
127,pteu,ELMo_NILC,word2vec,skip,1000,0.79,0.6,411
41,pteu,NILC,fasttext,cbow,50,\textbf{1.04},\textbf{0.34},45
31,pteu,NILC,fasttext,cbow,100,\textbf{1.04},\textbf{0.35},35
49,pteu,NILC,fasttext,cbow,300,\textbf{1.03},\textbf{0.36},53
35,pteu,NILC,fasttext,cbow,600,\textbf{1.0},\textbf{0.39},39
39,pteu,NILC,fasttext,cbow,1000,\textbf{1.0},\textbf{0.39},43
43,pteu,NILC,fasttext,skip,50,0.93,0.47,47
45,pteu,NILC,fasttext,skip,100,0.89,0.5,49
33,pteu,NILC,fasttext,skip,300,0.86,0.54,37
47,pteu,NILC,fasttext,skip,600,0.85,0.54,51
37,pteu,NILC,fasttext,skip,1000,\textbf{0.84},0.55,41
1,pteu,NILC,glove,glove,50,1.01,0.39,5
9,pteu,NILC,glove,glove,100,0.98,0.42,13
3,pteu,NILC,glove,glove,300,0.94,0.45,7
5,pteu,NILC,glove,glove,600,0.93,0.46,9
7,pteu,NILC,glove,glove,1000,0.93,0.46,11
21,pteu,NILC,wang2vec,cbow,50,\textbf{0.89},\textbf{0.5},25
11,pteu,NILC,wang2vec,cbow,100,\textbf{0.85},\textbf{0.54},15
29,pteu,NILC,wang2vec,cbow,300,0.87,0.53,33
15,pteu,NILC,wang2vec,cbow,600,0.87,0.53,19
19,pteu,NILC,wang2vec,cbow,1000,0.87,0.53,23
23,pteu,NILC,wang2vec,skip,50,0.93,0.46,27
25,pteu,NILC,wang2vec,skip,100,0.91,0.49,29
13,pteu,NILC,wang2vec,skip,300,0.87,0.52,17
27,pteu,NILC,wang2vec,skip,600,0.86,0.53,31
17,pteu,NILC,wang2vec,skip,1000,0.86,0.53,21
61,pteu,NILC,word2vec,cbow,50,0.95,0.46,65
51,pteu,NILC,word2vec,cbow,100,0.91,0.49,55
69,pteu,NILC,word2vec,cbow,300,0.87,0.54,73
55,pteu,NILC,word2vec,cbow,600,0.86,0.55,59
59,pteu,NILC,word2vec,cbow,1000,0.86,0.55,63
63,pteu,NILC,word2vec,skip,50,0.97,0.43,67
65,pteu,NILC,word2vec,skip,100,0.96,0.45,69
53,pteu,NILC,word2vec,skip,300,0.93,0.48,57
67,pteu,NILC,word2vec,skip,600,0.92,0.49,71
57,pteu,NILC,word2vec,skip,1000,0.91,0.5,61
