model,ptbr-MSE-2017,ptbr-pearson-2017,MSE-ptbr-2019-unk,pearson-ptbr-2019-unk
wang2vec_skip_s1000,0.49,0.60,0.48966332123935064,0.5979498958253555
wang2vec_skip_s600,0.49,0.59,0.4951359972630992,0.591881168875372
word2vec_cbow_s1000,0.50,0.58,0.5046306894185384,0.581435773533425
wang2vec_skip_s300,0.50,0.58,0.5051044997783205,0.5803793131835734
wang2vec_cbow_s300,0.55,0.53,0.5072323568739933,0.5784225360218341
word2vec_cbow_s600,0.51,0.57,0.5118371601960008,0.5730021024596675
wang2vec_cbow_s100,0.52,0.56,0.5192203793610034,0.5628509917134166
word2vec_cbow_s300,0.53,0.55,0.5297430555849116,0.5519513683420209
wang2vec_skip_s100,0.54,0.54,0.5377013927734581,0.541849574569547
word2vec_skip_s1000,0.54,0.54,0.5386444751252473,0.5415688020742564
word2vec_skip_s600,0.54,0.53,0.5444417130187401,0.5343545497612107
wang2vec_cbow_s50,0.55,0.53,0.5490334344200671,0.5272753596714663
fasttext_skip_s600,0.64,0.40,0.5539401758598236,0.5212912749928931
word2vec_skip_s300,0.56,0.52,0.5560351605670198,0.519314269392412
fasttext_skip_s1000,0.56,0.52,0.558392453385412,0.5161937383032784
fasttext_skip_s300,0.53,0.55,0.5599143010317709,0.5134498614809179
glove_glove_s1000,0.56,0.51,0.560799146076608,0.5139772098873263
wang2vec_skip_s50,0.56,0.51,0.5640367253715243,0.5088056737400858
glove_glove_s600,0.57,0.50,0.5681638082109939,0.5044654914738057
wang2vec_cbow_s1000,0.57,0.50,0.5688017689504408,0.5016062305119129
word2vec_cbow_s100,0.57,0.50,0.571174933779924,0.5003987989927097
wang2vec_cbow_s600,0.58,0.49,0.5768155047234135,0.49096142509088314
glove_glove_s300,0.58,0.49,0.579109358443212,0.489486024592036
fasttext_skip_s100,0.58,0.49,0.5820335358335514,0.48390518469169647
word2vec_skip_s100,0.58,0.48,0.5852154641967177,0.48082493053478065
word2vec_cbow_s50,0.59,0.47,0.5923360897307183,0.47231566188540136
word2vec_skip_s50,0.60,0.46,0.5985261224691764,0.46227796220293554
glove_glove_s100,0.60,0.45,0.604151067977513,0.45388946601322944
fasttext_skip_s50,0.61,0.45,0.6052360719617865,0.4511692784444807
glove_glove_s50,0.62,0.42,0.6246514037988302,0.4228015303687475
fasttext_cbow_s600,0.68,0.33,0.6412332827606114,0.3964817793569188
fasttext_cbow_s1000,0.64,0.39,0.6435509326691882,0.392452493381453
fasttext_cbow_s300,0.65,0.38,0.6558383132238239,0.3708395979874938
fasttext_cbow_s100,0.66,0.37,0.6610414064960305,0.361634159149882
fasttext_cbow_s50,0.66,0.36,0.667822381714226,0.3490610577207692
