,0,1,2,3,4,5,6,7
100,ptbr,ELMo_NILC,fasttext,cbow,100,	extbf{0.65},	extbf{0.38},384
108,ptbr,ELMo_NILC,fasttext,cbow,1000,	extbf{0.63},	extbf{0.42},392
118,ptbr,ELMo_NILC,fasttext,cbow,300,	extbf{0.65},	extbf{0.39},402
110,ptbr,ELMo_NILC,fasttext,cbow,50,	extbf{0.66},	extbf{0.37},394
104,ptbr,ELMo_NILC,fasttext,cbow,600,	extbf{0.63},	extbf{0.42},388
114,ptbr,ELMo_NILC,fasttext,skip,100,0.49,0.6,398
106,ptbr,ELMo_NILC,fasttext,skip,1000,0.47,0.62,390
102,ptbr,ELMo_NILC,fasttext,skip,300,0.48,0.61,386
112,ptbr,ELMo_NILC,fasttext,skip,50,0.49,0.59,396
116,ptbr,ELMo_NILC,fasttext,skip,600,0.48,0.61,400
78,ptbr,ELMo_NILC,glove,glove,100,0.53,0.56,362
76,ptbr,ELMo_NILC,glove,glove,1000,0.51,0.58,360
72,ptbr,ELMo_NILC,glove,glove,300,0.52,0.57,356
70,ptbr,ELMo_NILC,glove,glove,50,0.53,0.55,354
74,ptbr,ELMo_NILC,glove,glove,600,0.51,0.57,358
80,ptbr,ELMo_NILC,wang2vec,cbow,100,0.49,0.6,364
88,ptbr,ELMo_NILC,wang2vec,cbow,1000,0.56,0.51,372
98,ptbr,ELMo_NILC,wang2vec,cbow,300,0.48,0.61,382
90,ptbr,ELMo_NILC,wang2vec,cbow,50,0.49,0.6,374
84,ptbr,ELMo_NILC,wang2vec,cbow,600,0.57,0.5,368
94,ptbr,ELMo_NILC,wang2vec,skip,100,0.5,0.59,378
86,ptbr,ELMo_NILC,wang2vec,skip,1000,0.47,0.62,370
82,ptbr,ELMo_NILC,wang2vec,skip,300,0.48,0.6,366
92,ptbr,ELMo_NILC,wang2vec,skip,50,0.5,0.59,376
96,ptbr,ELMo_NILC,wang2vec,skip,600,0.48,0.61,380
120,ptbr,ELMo_NILC,word2vec,cbow,100,0.49,0.59,404
128,ptbr,ELMo_NILC,word2vec,cbow,1000,0.48,0.61,412
138,ptbr,ELMo_NILC,word2vec,cbow,300,0.49,0.6,422
130,ptbr,ELMo_NILC,word2vec,cbow,50,0.5,0.59,414
124,ptbr,ELMo_NILC,word2vec,cbow,600,0.48,0.6,408
134,ptbr,ELMo_NILC,word2vec,skip,100,0.5,0.59,418
126,ptbr,ELMo_NILC,word2vec,skip,1000,0.49,0.6,410
122,ptbr,ELMo_NILC,word2vec,skip,300,0.49,0.59,406
132,ptbr,ELMo_NILC,word2vec,skip,50,0.5,0.59,416
136,ptbr,ELMo_NILC,word2vec,skip,600,0.49,0.6,420
30,ptbr,NILC,fasttext,cbow,100,	extbf{0.66},	extbf{0.36},34
38,ptbr,NILC,fasttext,cbow,1000,	extbf{0.64},	extbf{0.4},42
48,ptbr,NILC,fasttext,cbow,300,	extbf{0.65},	extbf{0.37},52
40,ptbr,NILC,fasttext,cbow,50,	extbf{0.67},	extbf{0.35},44
34,ptbr,NILC,fasttext,cbow,600,	extbf{0.64},	extbf{0.4},38
44,ptbr,NILC,fasttext,skip,100,0.53,0.55,48
36,ptbr,NILC,fasttext,skip,1000,0.49,0.6,40
32,ptbr,NILC,fasttext,skip,300,0.5,0.58,36
42,ptbr,NILC,fasttext,skip,50,0.55,0.52,46
46,ptbr,NILC,fasttext,skip,600,	extbf{0.49},0.59,50
8,ptbr,NILC,glove,glove,100,0.6,0.46,12
6,ptbr,NILC,glove,glove,1000,0.56,0.52,10
2,ptbr,NILC,glove,glove,300,0.58,0.49,6
0,ptbr,NILC,glove,glove,50,0.62,0.43,4
4,ptbr,NILC,glove,glove,600,0.56,0.51,8
10,ptbr,NILC,wang2vec,cbow,100,	extbf{0.52},0.56,14
18,ptbr,NILC,wang2vec,cbow,1000,0.57,0.5,22
28,ptbr,NILC,wang2vec,cbow,300,0.51,0.58,32
20,ptbr,NILC,wang2vec,cbow,50,0.55,0.53,24
14,ptbr,NILC,wang2vec,cbow,600,0.58,0.49,18
24,ptbr,NILC,wang2vec,skip,100,0.54,0.54,28
16,ptbr,NILC,wang2vec,skip,1000,0.49,0.59,20
12,ptbr,NILC,wang2vec,skip,300,0.51,0.58,16
22,ptbr,NILC,wang2vec,skip,50,0.56,0.51,26
26,ptbr,NILC,wang2vec,skip,600,0.5,0.59,30
50,ptbr,NILC,word2vec,cbow,100,0.57,0.5,54
58,ptbr,NILC,word2vec,cbow,1000,0.5,0.58,62
68,ptbr,NILC,word2vec,cbow,300,0.53,0.55,72
60,ptbr,NILC,word2vec,cbow,50,0.59,0.47,64
54,ptbr,NILC,word2vec,cbow,600,0.51,0.57,58
64,ptbr,NILC,word2vec,skip,100,0.59,0.48,68
56,ptbr,NILC,word2vec,skip,1000,0.54,0.54,60
52,ptbr,NILC,word2vec,skip,300,0.56,0.52,56
62,ptbr,NILC,word2vec,skip,50,0.6,0.46,66
66,ptbr,NILC,word2vec,skip,600,0.54,0.53,70
101,pteu,ELMo_NILC,fasttext,cbow,100,	extbf{1.03},	extbf{0.36},385
109,pteu,ELMo_NILC,fasttext,cbow,1000,	extbf{1.0},	extbf{0.4},393
119,pteu,ELMo_NILC,fasttext,cbow,300,	extbf{1.02},	extbf{0.37},403
