,dataset_language_x,word_embedding,language_model,word_embedding_architecture,word_embedding_size,unk_x,preprocessed,pearson_x,MSE_x,dataset_language_y,unk_y,pearson_y,MSE_y,pearson_diff
45,ptbr,fasttext ,,skip-gram,1000,False,False,0.472,0.591,ptbr,True,0.248,0.714,0.22399999999999998
65,ptbr,fasttext ,,skip-gram,300,False,False,0.455,0.602,ptbr,True,0.278,0.703,0.177
69,ptbr,fasttext ,,skip-gram,600,False,False,0.449,0.607,ptbr,True,0.276,0.703,0.173
85,ptbr,fasttext ,,skip-gram,100,False,False,0.432,0.618,ptbr,True,0.274,0.704,0.15799999999999997
93,ptbr,fasttext ,,skip-gram,50,False,False,0.414,0.63,ptbr,True,0.258,0.71,0.15599999999999997
109,ptbr,glove ,,,600,False,False,0.391,0.644,ptbr,True,0.343,0.671,0.04799999999999999
13,ptbr,wang2vec ,,skip-gram,600,True,False,0.488,0.579,ptbr,False,0.441,0.613,0.046999999999999986
29,ptbr,wang2vec ,,skip-gram,300,True,False,0.485,0.581,ptbr,False,0.439,0.614,0.045999999999999985
101,ptbr,glove ,,,1000,False,False,0.396,0.642,ptbr,True,0.351,0.666,0.04500000000000004
37,ptbr,wang2vec ,,skip-gram,1000,True,False,0.479,0.586,ptbr,False,0.435,0.617,0.043999999999999984
41,ptbr,wang2vec ,,CBOW,300,True,False,0.476,0.588,ptbr,False,0.435,0.616,0.04099999999999998
49,ptbr,wang2vec ,,skip-gram,100,True,False,0.464,0.596,ptbr,False,0.427,0.622,0.03700000000000003
125,ptbr,glove ,,,50,False,False,0.351,0.667,ptbr,True,0.317,0.684,0.033999999999999975
113,ptbr,glove ,,,100,False,False,0.369,0.657,ptbr,True,0.337,0.674,0.03199999999999997
81,ptbr,wang2vec ,,skip-gram,50,True,False,0.436,0.616,ptbr,False,0.408,0.634,0.028000000000000025
9,ptbr,wang2vec ,,CBOW,100,True,False,0.49,0.578,ptbr,False,0.464,0.596,0.025999999999999968
53,ptbr,wang2vec ,,CBOW,50,True,False,0.461,0.599,ptbr,False,0.436,0.616,0.025000000000000022
105,ptbr,glove ,,,300,False,False,0.392,0.644,ptbr,True,0.368,0.658,0.02400000000000002
1,ptbr,word2vec ,,skip-gram,600,True,False,0.495,0.574,ptbr,False,0.475,0.588,0.020000000000000018
57,ptbr,word2vec ,,skip-gram,100,True,False,0.461,0.599,ptbr,False,0.444,0.61,0.017000000000000015
33,ptbr,word2vec ,,skip-gram,300,True,False,0.484,0.582,ptbr,False,0.467,0.594,0.01699999999999996
5,ptbr,word2vec ,,skip-gram,1000,True,False,0.491,0.577,ptbr,False,0.475,0.589,0.016000000000000014
137,ptbr,fasttext ,,CBOW,50,True,False,0.335,0.675,ptbr,False,0.323,0.681,0.01200000000000001
133,ptbr,fasttext ,,CBOW,100,True,False,0.345,0.67,ptbr,False,0.334,0.676,0.010999999999999954
97,ptbr,word2vec ,,skip-gram,50,True,False,0.409,0.633,ptbr,False,0.399,0.639,0.009999999999999953
25,ptbr,word2vec ,,CBOW,1000,True,False,0.485,0.581,ptbr,False,0.478,0.586,0.007000000000000006
129,ptbr,fasttext ,,CBOW,300,True,False,0.347,0.668,ptbr,False,0.341,0.672,0.00599999999999995
17,ptbr,word2vec ,,CBOW,600,True,False,0.487,0.58,ptbr,False,0.482,0.584,0.0050000000000000044
