,dataset_language_x,word_embedding,language_model,word_embedding_architecture,word_embedding_size,unk_x,preprocessed,pearson_x,MSE_x,dataset_language_y,unk_y,pearson_y,MSE_y,pearson_diff
13,pteu,fasttext ,,skip-gram,1000,False,True,0.571,0.796,pteu,True,0.563,0.808,0.008
89,pteu,fasttext ,,skip-gram,50,False,True,0.477,0.915,pteu,True,0.469,0.924,0.008
33,pteu,fasttext ,,skip-gram,300,False,True,0.539,0.839,pteu,True,0.532,0.849,0.007
85,pteu,fasttext ,,skip-gram,100,False,True,0.499,0.886,pteu,True,0.492,0.894,0.007
45,pteu,fasttext ,,skip-gram,600,False,True,0.531,0.847,pteu,True,0.525,0.856,0.006
101,pteu,glove ,,,600,False,True,0.445,0.933,pteu,True,0.443,0.934,0.002
137,pteu,fasttext ,,CBOW,50,True,True,0.342,1.042,pteu,False,0.341,1.043,0.001
133,pteu,fasttext ,,CBOW,100,True,True,0.354,1.032,pteu,False,0.353,1.033,0.001
129,pteu,fasttext ,,CBOW,300,True,True,0.367,1.021,pteu,False,0.366,1.022,0.001
125,pteu,fasttext ,,CBOW,1000,True,True,0.387,1.003,pteu,False,0.386,1.004,0.001
121,pteu,fasttext ,,CBOW,600,True,True,0.389,1.001,pteu,False,0.388,1.002,0.001
117,pteu,glove ,,,50,False,True,0.405,0.98,pteu,True,0.404,0.98,0.001
113,pteu,glove ,,,100,False,True,0.422,0.962,pteu,True,0.421,0.962,0.001
105,pteu,glove ,,,1000,False,True,0.442,0.934,pteu,True,0.441,0.936,0.001
61,pteu,wang2vec ,,skip-gram,300,True,True,0.519,0.858,pteu,False,0.518,0.858,0.001
53,pteu,wang2vec ,,skip-gram,600,True,True,0.523,0.853,pteu,False,0.522,0.853,0.001
122,pteu,fasttext ,,CBOW,600,False,True,0.388,1.002,pteu,True,0.389,1.001,-0.001
134,pteu,fasttext ,,CBOW,100,False,True,0.353,1.033,pteu,True,0.354,1.032,-0.001
130,pteu,fasttext ,,CBOW,300,False,True,0.366,1.022,pteu,True,0.367,1.021,-0.001
126,pteu,fasttext ,,CBOW,1000,False,True,0.386,1.004,pteu,True,0.387,1.003,-0.001
54,pteu,wang2vec ,,skip-gram,600,False,True,0.522,0.853,pteu,True,0.523,0.853,-0.001
138,pteu,fasttext ,,CBOW,50,False,True,0.341,1.043,pteu,True,0.342,1.042,-0.001
118,pteu,glove ,,,50,True,True,0.404,0.98,pteu,False,0.405,0.98,-0.001
62,pteu,wang2vec ,,skip-gram,300,False,True,0.518,0.858,pteu,True,0.519,0.858,-0.001
114,pteu,glove ,,,100,True,True,0.421,0.962,pteu,False,0.422,0.962,-0.001
106,pteu,glove ,,,1000,True,True,0.441,0.936,pteu,False,0.442,0.934,-0.001
102,pteu,glove ,,,600,True,True,0.443,0.934,pteu,False,0.445,0.933,-0.002
46,pteu,fasttext ,,skip-gram,600,True,True,0.525,0.856,pteu,False,0.531,0.847,-0.006
86,pteu,fasttext ,,skip-gram,100,True,True,0.492,0.894,pteu,False,0.499,0.886,-0.007
34,pteu,fasttext ,,skip-gram,300,True,True,0.532,0.849,pteu,False,0.539,0.839,-0.007
14,pteu,fasttext ,,skip-gram,1000,True,True,0.563,0.808,pteu,False,0.571,0.796,-0.008
90,pteu,fasttext ,,skip-gram,50,True,True,0.469,0.924,pteu,False,0.477,0.915,-0.008
